ID,ID_incident,date_published,data_source,data_source_name,data_source_country,source_type,alert_type,raw_text_product,product_categoty,product,origin_country,origin_country_EU,notified_country,notified_country_EU,hazard_description,hazard_group,summary,food_feed_fcm,date_published_year,date_published_month,date_published_year_month,date_published_quarter,date_published_year_quarter,date_published_fulltime,alert_type_large,long.origin,lat.origin,long.notified,lat.notified,long.origin.rand,lat.origin.rand,long.notified.rand,lat.notified.rand,hazard_type,hazard_type_large
218195,218195,2020-05-20,AFSCA Recalls (Belgium),AFSCA Recalls,Belgium,Official,warning,Allergens not listed on the label are almonds and cashews.,nuts; nut products and seeds,almond,Belgium,EU,Belgium,EU,hazelnut brand winny,allergens,hazelnut brand winny: almonds,food,2020,5,2020-05,Q2,2020-Q2,2020-05-20 00:00:00 +00:00,alert,4.64064572,50.63981435,4.64064572,50.63981435,5.296165092906573,50.28312069111866,4.0344401698637435,50.46736694915963,hazelnut,nuts
218198,218198,2020-05-20,Product Recalls Website: Oulah (France),Product Recalls Website: Oulah,France,Others,recall,Recall product : Terrine of guinea Fowl with green pepper brand cold cuts of Picoreur,fruits and vegetables,pepper,France,EU,France,EU,presence of the allergen wheat,allergens,presence of the allergen wheat: green pepper brand cold cuts,food,2020,5,2020-05,Q2,2020-Q2,2020-05-20 00:00:00 +00:00,recall,2.53618475,46.18700581,2.53618475,46.18700581,-0.49481677359252,46.836963945210535,4.302492284621991,46.519520722392684,wheat,gluten-related
218202,218202,2020-05-20,BVL Recalls (Germany),BVL Recalls,Germany,Official,recall,Warning for the product frank juice green; 330ml for in part; confusion between the labels; incorrectly declared allergen celery,,meat product,Germany,EU,Germany,EU,allergen celery,allergens,allergen celery: frank juice green; 330ml,food,2020,5,2020-05,Q2,2020-Q2,2020-05-20 00:00:00 +00:00,recall,10.38577693,51.10697903,10.38577693,51.10697903,7.1991103071624325,51.78823268322093,9.180280426644721,54.4000616669835,celery,celery
218205,218205,2020-05-20,Food Safety Authority (Ireland),Food Safety Authority,Ireland,Official,recall,Milk Not Labelled in English on Batches of Magnum White Chocolate Ice Cream tub,milk and milk products,white chocolate ice cream tub pack size end,United Kingdom,UK,Ireland,EU,food allergen  milk,allergens,food allergen  milk: magnum white chocolate ice cream tub; pack size: 440ml.batch codes: l9255at138 & l9255bt138best before end: 09 2021,food,2020,5,2020-05,Q2,2020-Q2,2020-05-20 00:00:00 +00:00,recall,-2.86563362,54.12387156,-8.13793167,53.1754426,-1.9544537839889282,53.63752124456926,-7.601468861827347,52.50653389200425,milk,dairy
218206,218206,2020-05-20,FSA Alerts & Recalls (UK),FSA Alerts & Recalls,UK,Official,recall,Unilever recalls Magnum White Chocolate ice cream tubs because of undeclared milk,milk and milk products,white chocolate ice cream tub,United Kingdom,UK,United Kingdom,UK,milk or milk constituents,allergens,milk or milk constituents: magnum white chocolate ice cream tub,food,2020,5,2020-05,Q2,2020-Q2,2020-05-20 00:00:00 +00:00,recall,-2.86563362,54.12387156,-2.86563362,54.12387156,-1.0030730094912883,53.64031867000485,-3.7854523242049942,56.55019280104493,milk,dairy
218183,218183,2020-05-19,Food Safety Authority (Ireland),Food Safety Authority,Ireland,Official,recall,Undeclared Milk in Youngs Simply Breaded 2 Extra Large Fish Fillets,fish and fish products,young fish fillet pack size end,United Kingdom,UK,Ireland,EU,undeclared milk,allergens,undeclared milk: youngs simply breaded 2 extra large fish fillets (frozen); pack size: 300g.batch codes: ac l 0097; ab l 0114 & ab l 0116best before end: oct 2021,food,2020,5,2020-05,Q2,2020-Q2,2020-05-19 00:00:00 +00:00,recall,-2.86563362,54.12387156,-8.13793167,53.1754426,-3.190929785360241,51.139532779854115,-8.407874062213558,52.77071945113983,milk,dairy
218178,218178,2020-05-18,FSA Alerts & Recalls (UK),FSA Alerts & Recalls,UK,Official,recall,Youngs Seafood recalls Simply Breaded Fish Fillets because of undeclared milk,fish and fish products,fish fillet,United Kingdom,UK,United Kingdom,UK,milk or milk constituents,allergens,milk or milk constituents: youngs simply breaded 2 extra large fish fillets,food,2020,5,2020-05,Q2,2020-Q2,2020-05-18 00:00:00 +00:00,recall,-2.86563362,54.12387156,-2.86563362,54.12387156,-2.4378013983610947,56.780077278772794,-3.0316573378178595,53.58989830112444,milk,dairy
218132,218132,2020-05-15,Food Poisoning Bulletin (US),Food Poisoning Bulletin,USA,Others,recall,Wegmans Semi-Sweet Chocolate Nonpareils Recalled For Milk,cocoa and cocoa preparations; coffee and tea,chocolate nonpareil,United States of America,non_EU,United States of America,non_EU,milk,allergens,milk: wegmans semi-sweet chocolate nonpareils,food,2020,5,2020-05,Q2,2020-Q2,2020-05-15 00:00:00 +00:00,recall,-112.46167057,45.67955203,-112.46167057,45.67955203,-114.99578502463379,37.96111293112603,-158.10501683014985,59.42511828050644,milk,dairy
218138,218138,2020-05-15,FDA Recalls (USA),FDA Recalls,USA,Official,recall,Mellace Family Brands California Inc. (Johnvince Foods) Recalls Wegmans Semi-Sweet Chocolate nonpareils; 18.5oz (1lb 2.5oz) 524g Due to Undeclared Milk Allergen,cocoa and cocoa preparations; coffee and tea,chocolate nonpareil,United States of America,non_EU,United States of America,non_EU,undeclared milk,allergens,undeclared milk: semisweet chocolate nonpareils,food,2020,5,2020-05,Q2,2020-Q2,2020-05-15 00:00:00 +00:00,recall,-112.46167057,45.67955203,-112.46167057,45.67955203,-94.70525052876657,47.791661471278715,-152.31441246411174,61.855438604570466,milk,dairy
218139,218139,2020-05-15,RASFF Portal,RASFF Portal,EU,Official,alert,Diarrhoeic Shellfish Poisoning (DSP) toxins - okadaic acid (267 Âµg/kg - ppb) in live mussels (Mytilus Galloprovincialis) from Italy,bivalve molluscs and products thereof,mussel,Italy,EU,Italy,EU,diarrhoeic shellfish poisoning toxins  okadaic acid,allergens,diarrhoeic shellfish poisoning toxins  okadaic acid: live mussels (mytilus galloprovincialis),food,2020,5,2020-05,Q2,2020-Q2,2020-05-15 00:00:00 +00:00,alert,12.07000946,42.79663568,12.07000946,42.79663568,10.935236509330835,45.49243262178149,9.943958211018836,45.8191666775657,seafood,seafood
